circuitId,circuitName,country,lat,lng
adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
ain-diab,Ain Diab,Morocco,33.5786,-7.6875
aintree,Aintree,UK,53.4769,-2.94056
albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
americas,Circuit of the Americas,USA,30.1328,-97.6411
anderstorp,Scandinavian Raceway,Sweden,57.2653,13.6042
avus,AVUS,Germany,52.4806,13.2514
bahrain,Bahrain International Circuit,Bahrain,26.0325,50.5106
baku,Baku City Circuit,Azerbaijan,40.3725,49.8533
boavista,Circuito da Boavista,Portugal,41.1705,-8.67325
brands_hatch,Brands Hatch,UK,51.3569,0.263056
bremgarten,Circuit Bremgarten,Switzerland,46.9589,7.40194
buddh,Buddh International Circuit,India,28.3487,77.5331
catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
charade,Charade Circuit,France,45.7472,3.03889
dallas,Fair Park,USA,32.7774,-96.7587
detroit,Detroit Street Circuit,USA,42.3298,-83.0401
dijon,Dijon-Prenois,France,47.3625,4.89913
donington,Donington Park,UK,52.8306,-1.37528
essarts,Rouen-Les-Essarts,France,49.3306,1.00458
estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
fuji,Fuji Speedway,Japan,35.3717,138.927
galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
george,Prince George Circuit,South Africa,-33.0486,27.8736
hockenheimring,Hockenheimring,Germany,49.3278,8.56583
hungaroring,Hungaroring,Hungary,47.5789,19.2486
imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
istanbul,Istanbul Park,Turkey,40.9517,29.405
jacarepagua,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395
jarama,Jarama,Spain,40.6171,-3.58558
jeddah,Jeddah Corniche Circuit,Saudi Arabia,21.6319,39.1044
jerez,Circuito de Jerez,Spain,36.7083,-6.03417
kyalami,Kyalami,South Africa,-25.9894,28.0767
las_vegas,Las Vegas Street Circuit,USA,36.1162,-115.174
lemans,Le Mans,France,47.95,0.224231
long_beach,Long Beach,USA,33.7651,-118.189
losail,Losail International Circuit,Qatar,25.49,51.4542
madring,Madring,Spain,40.46528,-3.61528
magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
marina_bay,Marina Bay Street Circuit,Singapore,1.2914,103.864
miami,Miami International Autodrome,USA,25.9581,-80.2389
monaco,Circuit de Monaco,Monaco,43.7347,7.42056
monsanto,Monsanto Park Circuit,Portugal,38.7197,-9.20306
montjuic,Montjuïc,Spain,41.3664,2.15167
monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
mosport,Mosport International Raceway,Canada,44.0481,-78.6756
mugello,Autodromo Internazionale del Mugello,Italy,43.9975,11.3719
nivelles,Nivelles-Baulers,Belgium,50.6211,4.32694
nurburgring,Nürburgring,Germany,50.3356,6.9475
okayama,Okayama International Circuit,Japan,34.915,134.221
pedralbes,Circuit de Pedralbes,Spain,41.3903,2.11667
pescara,Pescara Circuit,Italy,42.475,14.1508
phoenix,Phoenix street circuit,USA,33.4479,-112.075
portimao,Autódromo Internacional do Algarve,Portugal,37.227,-8.6267
red_bull_ring,Red Bull Ring,Austria,47.2197,14.7647
reims,Reims-Gueux,France,49.2542,3.93083
ricard,Circuit Paul Ricard,France,43.2506,5.79167
riverside,Riverside International Raceway,USA,33.937,-117.273
rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
sebring,Sebring International Raceway,USA,27.4547,-81.3483
sepang,Sepang International Circuit,Malaysia,2.76083,101.738
shanghai,Shanghai International Circuit,China,31.3389,121.22
silverstone,Silverstone Circuit,UK,52.0786,-1.01694
sochi,Sochi Autodrom,Russia,43.4057,39.9578
spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
suzuka,Suzuka Circuit,Japan,34.8431,136.541
tremblant,Circuit Mont-Tremblant,Canada,46.1877,-74.6099
valencia,Valencia Street Circuit,Spain,39.4589,-0.331667
vegas,Las Vegas Strip Street Circuit,USA,36.1147,-115.173
villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
watkins_glen,Watkins Glen,USA,42.3369,-76.9272
yas_marina,Yas Marina Circuit,UAE,24.4672,54.6031
yeongam,Korean International Circuit,Korea,34.7333,126.417
zandvoort,Circuit Park Zandvoort,Netherlands,52.3888,4.54092
zeltweg,Zeltweg,Austria,47.2039,14.7478
zolder,Zolder,Belgium,50.9894,5.25694
